egg_number,didn't hatch,Sex 5.1.19
1,NA,
2,0,Female
3,0,Female
4,0,Male
5,1,
6,0,Female
7,1,
8,1,
9,0,Female
10,1,
11,0,Female
12,1,
13,1,
14,1,
15,0,Female
16,0,Male
17,0,Female
18,1,
19,0,Male
20,0,Male
21,0,Female
22,0,Male
23,0,Male
24,1,
25,1,
26,0,Female
27,1,
28,0,Male
29,0,Male
30,1,
31,0,Female
32,1,
33,0,Male
34,0,Female
35,0,Male
36,0,Male
37,0,Female
38,0,Male
39,0,Male
40,0,Female
41,0,Male
42,0,Male
43,1,
44,1,
45,0,Female
46,0,Male
47,0,Male
48,1,
49,1,
50,1,
51,0,Male
52,0,Male
53,1,
54,0,Female
55,1,
56,0,Female
57,NA,
58,0,Female
59,0,Female
60,0,Male
61,1,
62,0,Male
63,0,Male
64,0,Female
65,0,Male
66,0,Male
67,0,Female
68,0,Female
69,0,Female
70,0,Male
71,0,Female
72,0,Female
73,1,
74,0,Male
75,0,Female
76,0,Male
77,0,Male
78,0,Female
79,0,Female
