,Crp_Filepath,clutch,Day,egg_number,sex
0,Cropped_Egg_images/Clutch1_D18/egg2.JPG,1,18,2,Female
1,Cropped_Egg_images/Clutch1_D18/egg3.JPG,1,18,3,Female
2,Cropped_Egg_images/Clutch1_D18/egg4.JPG,1,18,4,Male
3,Cropped_Egg_images/Clutch1_D18/egg6.JPG,1,18,6,Female
4,Cropped_Egg_images/Clutch1_D18/egg9.JPG,1,18,9,Female
5,Cropped_Egg_images/Clutch1_D18/egg11.JPG,1,18,11,Female
6,Cropped_Egg_images/Clutch1_D18/egg15.JPG,1,18,15,Female
7,Cropped_Egg_images/Clutch1_D18/egg16.JPG,1,18,16,Male
8,Cropped_Egg_images/Clutch1_D18/egg17.JPG,1,18,17,Female
9,Cropped_Egg_images/Clutch1_D18/egg19.JPG,1,18,19,Male
10,Cropped_Egg_images/Clutch1_D18/egg20.JPG,1,18,20,Male
11,Cropped_Egg_images/Clutch1_D18/egg21.JPG,1,18,21,Female
12,Cropped_Egg_images/Clutch1_D18/egg22.JPG,1,18,22,Male
13,Cropped_Egg_images/Clutch1_D18/egg23.JPG,1,18,23,Male
14,Cropped_Egg_images/Clutch1_D18/egg26.JPG,1,18,26,Female
15,Cropped_Egg_images/Clutch1_D18/egg28.JPG,1,18,28,Male
16,Cropped_Egg_images/Clutch1_D18/egg29.JPG,1,18,29,Male
17,Cropped_Egg_images/Clutch1_D18/egg31.JPG,1,18,31,Female
18,Cropped_Egg_images/Clutch1_D18/egg33.JPG,1,18,33,Male
19,Cropped_Egg_images/Clutch1_D18/egg34.JPG,1,18,34,Female
20,Cropped_Egg_images/Clutch1_D18/egg35.JPG,1,18,35,Male
21,Cropped_Egg_images/Clutch1_D18/egg36.JPG,1,18,36,Male
22,Cropped_Egg_images/Clutch1_D18/egg37.JPG,1,18,37,Female
23,Cropped_Egg_images/Clutch1_D18/egg38.JPG,1,18,38,Male
24,Cropped_Egg_images/Clutch1_D18/egg39.JPG,1,18,39,Male
25,Cropped_Egg_images/Clutch1_D18/egg40.JPG,1,18,40,Female
26,Cropped_Egg_images/Clutch1_D18/egg41.JPG,1,18,41,Male
27,Cropped_Egg_images/Clutch1_D18/egg42.JPG,1,18,42,Male
28,Cropped_Egg_images/Clutch1_D18/egg45.JPG,1,18,45,Female
29,Cropped_Egg_images/Clutch1_D18/egg46.JPG,1,18,46,Male
30,Cropped_Egg_images/Clutch1_D18/egg47.JPG,1,18,47,Male
31,Cropped_Egg_images/Clutch1_D18/egg51.JPG,1,18,51,Male
32,Cropped_Egg_images/Clutch1_D18/egg52.JPG,1,18,52,Male
33,Cropped_Egg_images/Clutch1_D18/egg54.JPG,1,18,54,Female
34,Cropped_Egg_images/Clutch1_D18/egg56.JPG,1,18,56,Female
35,Cropped_Egg_images/Clutch1_D18/egg58.JPG,1,18,58,Female
36,Cropped_Egg_images/Clutch1_D18/egg59.JPG,1,18,59,Female
37,Cropped_Egg_images/Clutch1_D18/egg60.JPG,1,18,60,Male
38,Cropped_Egg_images/Clutch1_D18/egg62.JPG,1,18,62,Male
39,Cropped_Egg_images/Clutch1_D18/egg63.JPG,1,18,63,Male
40,Cropped_Egg_images/Clutch1_D18/egg64.JPG,1,18,64,Female
41,Cropped_Egg_images/Clutch1_D18/egg65.JPG,1,18,65,Male
42,Cropped_Egg_images/Clutch1_D18/egg66.JPG,1,18,66,Male
43,Cropped_Egg_images/Clutch1_D18/egg67.JPG,1,18,67,Female
44,Cropped_Egg_images/Clutch1_D18/egg68.JPG,1,18,68,Female
45,Cropped_Egg_images/Clutch1_D18/egg69.JPG,1,18,69,Female
46,Cropped_Egg_images/Clutch1_D18/egg70.JPG,1,18,70,Male
47,Cropped_Egg_images/Clutch1_D18/egg71.JPG,1,18,71,Female
48,Cropped_Egg_images/Clutch1_D18/egg72.JPG,1,18,72,Female
49,Cropped_Egg_images/Clutch1_D18/egg74.JPG,1,18,74,Male
50,Cropped_Egg_images/Clutch1_D18/egg75.JPG,1,18,75,Female
51,Cropped_Egg_images/Clutch1_D18/egg76.JPG,1,18,76,Male
52,Cropped_Egg_images/Clutch1_D18/egg77.JPG,1,18,77,Male
53,Cropped_Egg_images/Clutch1_D18/egg78.JPG,1,18,78,Female
54,Cropped_Egg_images/Clutch1_D18/egg79.JPG,1,18,79,Female
55,Cropped_Egg_images/Clutch2_D18/IMG_0001.JPG,2,18,1,Female
56,Cropped_Egg_images/Clutch2_D18/IMG_0002.JPG,2,18,2,Male
57,Cropped_Egg_images/Clutch2_D18/IMG_0006.JPG,2,18,6,Female
58,Cropped_Egg_images/Clutch2_D18/IMG_0007.JPG,2,18,7,Female
59,Cropped_Egg_images/Clutch2_D18/IMG_0010.JPG,2,18,9,Male
60,Cropped_Egg_images/Clutch2_D18/IMG_0013.JPG,2,18,12,Male
61,Cropped_Egg_images/Clutch2_D18/IMG_0014.JPG,2,18,13,Female
62,Cropped_Egg_images/Clutch2_D18/IMG_0016.JPG,2,18,15,Female
63,Cropped_Egg_images/Clutch2_D18/IMG_0018.JPG,2,18,17,Female
64,Cropped_Egg_images/Clutch2_D18/IMG_0022.JPG,2,18,21,Female
65,Cropped_Egg_images/Clutch2_D18/IMG_0025.JPG,2,18,24,Female
66,Cropped_Egg_images/Clutch2_D18/IMG_0027.JPG,2,18,26,Male
67,Cropped_Egg_images/Clutch2_D18/IMG_0028.JPG,2,18,27,Male
