,test_name,model_arch,transforms,normalized,weight_decay,split_num,AUROC_8,AUROC_9,error_rate_8,error_rate_9,train_df
0,resnet18_0.01_None_True,resnet18,None,True,0.01,1,0.625,0.625,0.375,0.5,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    1.091993    0.868008       0.750  0.4375   NaN
1      1    0.938231    0.846525       0.625  0.3750   NaN
2      2    0.937822    1.076271       0.625  0.4375   NaN
3      3    0.834414    0.925072       0.250  0.6250   NaN
4      4    0.836165    0.761775       0.375  0.6250   NaN
5      5    0.752544    0.844406       0.500  0.6250   NaN
6      6    0.708230    0.838999       0.500  0.6250   NaN
7      7    0.707960    0.933295       0.375  0.6250   NaN
8      8    0.751757    0.764272       0.500  0.6250   NaN"
1,resnet18_0.01_None_True,resnet18,None,True,0.01,2,0.1875,0.25,0.875,0.875,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.765035    0.839903       0.625  0.5000   NaN
1      1    0.908135    0.900240       0.750  0.3125   NaN
2      2    0.832186    1.074783       0.625  0.2500   NaN
3      3    0.825771    1.464940       0.875  0.1250   NaN
4      4    0.785432    1.363395       0.875  0.1250   NaN
5      5    0.738988    1.412909       0.875  0.1250   NaN
6      6    0.676739    1.365134       0.875  0.2500   NaN
7      7    0.701334    1.405963       0.875  0.1875   NaN
8      8    0.746469    1.268888       0.875  0.2500   NaN"
2,resnet18_0.01_None_True,resnet18,None,True,0.01,3,0.5,0.5,0.625,0.625,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.769374    0.798543       0.375  0.5625   NaN
1      1    0.940636    0.657651       0.500  0.6875   NaN
2      2    0.848942    0.859334       0.500  0.4375   NaN
3      3    0.919045    0.875682       0.625  0.4375   NaN
4      4    0.804166    0.984094       0.750  0.5000   NaN
5      5    0.773493    0.870081       0.750  0.4375   NaN
6      6    0.727190    0.861398       0.625  0.5000   NaN
7      7    0.677954    0.839654       0.625  0.5000   NaN
8      8    0.712438    0.766418       0.625  0.5000   NaN"
3,resnet18_0.01_None_True,resnet18,None,True,0.01,4,0.0625,0.0625,0.625,0.625,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.940210    0.978293       0.875  0.2500   NaN
1      1    0.828946    1.501629       0.750  0.1250   NaN
2      2    0.782171    1.807278       0.750  0.0625   NaN
3      3    0.760553    1.778515       0.750  0.0000   NaN
4      4    0.664877    1.595411       0.750  0.0625   NaN
5      5    0.680177    1.495334       0.625  0.0000   NaN
6      6    0.734039    1.692438       0.625  0.0000   NaN
7      7    0.691290    1.997803       0.625  0.0625   NaN
8      8    0.646883    1.637494       0.625  0.0625   NaN"
4,resnet18_0.01_None_True,resnet18,None,True,0.01,5,0.0,0.0,0.857143,1.0,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.922810    1.213524    0.571429  0.000000   NaN
1      1    0.931747    1.593871    0.857143  0.000000   NaN
2      2    0.974427    1.804953    0.857143  0.000000   NaN
3      3    0.814325    1.514948    0.714286  0.083333   NaN
4      4    0.807497    1.444746    0.857143  0.083333   NaN
5      5    0.707938    1.657137    1.000000  0.000000   NaN
6      6    0.676741    1.670982    1.000000  0.000000   NaN
7      7    0.714240    1.700355    0.857143  0.000000   NaN
8      8    0.704210    1.678022    1.000000  0.000000   NaN"
5,resnet18_0.01_Stock_True,resnet18,Stock,True,0.01,1,0.6875,0.6875,0.375,0.375,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    1.044348    0.824403       0.750  0.3125   NaN
1      1    0.857173    0.875415       0.500  0.5000   NaN
2      2    0.925535    1.099513       0.375  0.6875   NaN
3      3    1.056920    0.856385       0.375  0.6250   NaN
4      4    0.988038    0.716527       0.375  0.6875   NaN
5      5    1.022645    0.698920       0.500  0.6875   NaN
6      6    0.939082    0.683101       0.125  0.8125   NaN
7      7    0.957009    0.775420       0.375  0.6875   NaN
8      8    0.850483    0.737553       0.375  0.6875   NaN"
6,resnet18_0.01_Stock_True,resnet18,Stock,True,0.01,2,0.4375,0.375,0.625,0.5,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.685480    0.680701       0.500  0.5000   NaN
1      1    0.732636    0.653890       0.375  0.5625   NaN
2      2    0.948661    0.980727       0.500  0.5000   NaN
3      3    0.890896    1.076862       0.625  0.3750   NaN
4      4    0.864474    1.111186       0.625  0.4375   NaN
5      5    0.868526    1.154415       0.625  0.4375   NaN
6      6    0.827201    1.022547       0.500  0.5000   NaN
7      7    0.796692    0.956283       0.625  0.4375   NaN
8      8    0.888717    0.958785       0.500  0.3750   NaN"
7,resnet18_0.01_Stock_True,resnet18,Stock,True,0.01,3,0.6875,0.6875,0.375,0.25,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    1.029217    0.685336       0.500  0.6250   NaN
1      1    0.856172    1.046245       0.625  0.2500   NaN
2      2    0.773043    0.898334       0.500  0.3750   NaN
3      3    0.814204    0.911276       0.500  0.4375   NaN
4      4    0.732280    0.883558       0.250  0.5625   NaN
5      5    0.748059    0.725484       0.250  0.6875   NaN
6      6    0.836444    0.761475       0.375  0.6875   NaN
7      7    0.804543    0.692763       0.375  0.6875   NaN
8      8    0.799711    0.827834       0.250  0.6875   NaN"
8,resnet18_0.01_Stock_True,resnet18,Stock,True,0.01,4,0.4375,0.4375,0.625,0.625,"   epoch  train_loss  valid_loss  error_rate   AUROC  time
0      0    0.831543    0.694667       0.500  0.5625   NaN
1      1    0.952723    0.974785       0.500  0.5000   NaN
2      2    1.049455    1.185298       0.500  0.3750   NaN
3      3    0.913583    1.323323       0.625  0.4375   NaN
4      4    0.954701    1.086008       0.750  0.3125   NaN
5      5    0.911866    0.889485       0.500  0.5000   NaN
6      6    0.820113    1.137420       0.625  0.2500   NaN
7      7    0.782266    1.080208       0.625  0.4375   NaN
8      8    0.772246    1.018530       0.625  0.4375   NaN"
9,resnet18_0.01_Stock_True,resnet18,Stock,True,0.01,5,0.583333,0.5,0.428571,0.428571,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.864503    0.715990    0.285714  0.583333   NaN
1      1    1.013068    1.093324    0.714286  0.250000   NaN
2      2    1.025497    1.408666    0.571429  0.333333   NaN
3      3    0.869148    1.777393    0.571429  0.333333   NaN
4      4    0.831483    1.676416    0.571429  0.333333   NaN
5      5    0.760229    1.127145    0.428571  0.416667   NaN
6      6    0.814534    1.145113    0.428571  0.500000   NaN
7      7    0.904494    1.049272    0.428571  0.583333   NaN
8      8    0.953180    0.990885    0.428571  0.500000   NaN"
