,test_name,model_arch,transforms,normalized,weight_decay,split_num,train_df,AUROC,error_rate
0,resnet50_0.01_modified_True,resnet50,modified,True,0.01,1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.024860    0.911022        0.30   0.59   NaN
1      1    1.009597    0.975148        0.40   0.66   NaN
2      2    1.062208    1.047558        0.60   0.35   NaN
3      3    0.896098    0.994858        0.60   0.39   NaN
4      4    0.870964    1.095449        0.65   0.38   NaN",0.38,0.65
1,resnet50_0.01_modified_True,resnet50,modified,True,0.01,2,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.029406    0.706171        0.45   0.73   NaN
1      1    0.957125    1.517979        0.50   0.49   NaN
2      2    0.914764    1.276637        0.60   0.41   NaN
3      3    1.033782    1.112232        0.60   0.37   NaN
4      4    0.978624    1.189197        0.50   0.40   NaN",0.4,0.5
2,resnet50_0.01_modified_True,resnet50,modified,True,0.01,3,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.898266    1.071237    0.555556  0.407407   NaN
1      1    1.042119    0.881891    0.555556  0.481481   NaN
2      2    0.989607    0.803646    0.555556  0.456790   NaN
3      3    1.036818    0.753566    0.500000  0.506173   NaN
4      4    0.983016    0.676332    0.388889  0.641975   NaN",0.641975,0.388889
3,resnet50_0.01_modified_True,resnet50,modified,True,0.01,4,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.988254    0.566987    0.333333  0.777778   NaN
1      1    0.940602    0.728102    0.333333  0.765432   NaN
2      2    1.075755    0.776119    0.277778  0.641975   NaN
3      3    0.956275    0.700418    0.500000  0.666667   NaN
4      4    0.887864    0.595985    0.333333  0.740741   NaN",0.740741,0.333333
4,resnet50_0.01_modified_True,resnet50,modified,True,0.01,5,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.985684    1.452667    0.500000  0.345679   NaN
1      1    1.004894    1.143822    0.500000  0.481481   NaN
2      2    1.006981    1.209225    0.500000  0.419753   NaN
3      3    1.040150    1.004723    0.611111  0.407407   NaN
4      4    0.948551    1.083647    0.611111  0.419753   NaN",0.419753,0.611111
5,resnet50_0.01_modified_True,resnet50,modified,True,0.01,6,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.960350    0.966186        0.55   0.42   NaN
1      1    1.010983    0.865540        0.40   0.54   NaN
2      2    1.036918    0.689616        0.30   0.67   NaN
3      3    0.927534    0.814675        0.40   0.55   NaN
4      4    0.912204    0.865424        0.40   0.58   NaN",0.58,0.4
6,resnet50_0.01_modified_True,resnet50,modified,True,0.01,7,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.983751    1.088086        0.60   0.41   NaN
1      1    0.914456    1.475588        0.55   0.25   NaN
2      2    0.955107    1.403826        0.65   0.27   NaN
3      3    1.005057    1.178710        0.70   0.25   NaN
4      4    0.968283    1.169541        0.70   0.29   NaN",0.29,0.7
7,resnet50_0.01_modified_True,resnet50,modified,True,0.01,8,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.977653    0.723122    0.222222  0.728395   NaN
1      1    1.044518    0.844998    0.388889  0.580247   NaN
2      2    1.018151    0.673878    0.222222  0.728395   NaN
3      3    0.993519    0.645142    0.333333  0.765432   NaN
4      4    0.840382    0.617958    0.333333  0.753086   NaN",0.7530859999999999,0.333333
8,resnet50_0.01_modified_True,resnet50,modified,True,0.01,9,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.180939    1.121276    0.555556  0.543210   NaN
1      1    1.016417    0.850292    0.500000  0.592593   NaN
2      2    0.972399    0.877247    0.444444  0.580247   NaN
3      3    0.920059    0.906946    0.555556  0.530864   NaN
4      4    0.962332    0.782997    0.388889  0.555556   NaN",0.555556,0.388889
9,resnet50_0.01_modified_True,resnet50,modified,True,0.01,10,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.031831    1.320278    0.500000  0.320988   NaN
1      1    0.893520    1.437985    0.555556  0.308642   NaN
2      2    0.948045    1.012657    0.500000  0.432099   NaN
3      3    0.896362    0.911544    0.500000  0.456790   NaN
4      4    0.886064    0.853313    0.555556  0.395062   NaN",0.39506199999999997,0.555556
10,resnet50_0.01_modified_True,resnet50,modified,True,0.01,11,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.985366    1.108967        0.40   0.43   NaN
1      1    1.023741    1.286490        0.45   0.46   NaN
2      2    0.889226    1.163813        0.60   0.35   NaN
3      3    0.941998    0.969196        0.55   0.45   NaN
4      4    0.886197    1.019090        0.55   0.39   NaN",0.39,0.55
11,resnet50_0.01_modified_True,resnet50,modified,True,0.01,12,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.021378    1.101336        0.45   0.67   NaN
1      1    1.025498    1.276301        0.45   0.29   NaN
2      2    1.160291    0.890131        0.50   0.51   NaN
3      3    1.010400    0.837777        0.45   0.64   NaN
4      4    0.893126    0.885444        0.45   0.60   NaN",0.6,0.45
