,test_name,model_arch,transforms,normalized,weight_decay,split_num,train_df,AUROC,AUROC_at_min_error,error_rate,min_error_rate
0,resnet50_1_modified_True,resnet50,modified,True,1,1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.272720    1.355042        0.55   0.54   NaN
1      1    1.118748    0.910736        0.55   0.45   NaN
2      2    0.976026    0.660746        0.35   0.68   NaN
3      3    0.891698    0.776582        0.50   0.52   NaN
4      4    0.840234    0.806154        0.50   0.56   NaN
5      5    0.768302    0.812845        0.55   0.56   NaN
6      6    0.740599    0.903771        0.50   0.48   NaN
7      7    0.718164    0.835286        0.50   0.52   NaN",0.52,0.68,0.5,0.35
1,resnet50_1_modified_True,resnet50,modified,True,1,2,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.958748    1.376811        0.65   0.27   NaN
1      1    0.938143    1.382939        0.75   0.30   NaN
2      2    0.930624    0.893752        0.60   0.45   NaN
3      3    0.843489    0.849566        0.50   0.45   NaN
4      4    0.770921    0.841672        0.50   0.40   NaN
5      5    0.763366    0.767321        0.40   0.46   NaN
6      6    0.715797    0.806308        0.50   0.40   NaN
7      7    0.663383    0.838510        0.60   0.43   NaN",0.43,0.46,0.6,0.4
2,resnet50_1_modified_True,resnet50,modified,True,1,3,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.882700    0.847734    0.611111  0.395062   NaN
1      1    0.934812    0.994982    0.500000  0.358025   NaN
2      2    0.884002    0.849024    0.611111  0.407407   NaN
3      3    0.934197    0.827233    0.611111  0.345679   NaN
4      4    0.839807    0.777252    0.666667  0.320988   NaN
5      5    0.756534    0.890564    0.555556  0.308642   NaN
6      6    0.740932    0.815513    0.555556  0.308642   NaN
7      7    0.712289    0.751187    0.611111  0.382716   NaN",0.382716,0.358025,0.611111,0.5
3,resnet50_1_modified_True,resnet50,modified,True,1,4,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.190650    1.483213    0.666667  0.209877   NaN
1      1    1.014247    0.955705    0.555556  0.518519   NaN
2      2    0.959043    0.753090    0.388889  0.666667   NaN
3      3    0.822017    0.943375    0.500000  0.592593   NaN
4      4    0.813586    0.873169    0.611111  0.320988   NaN
5      5    0.796995    0.794458    0.555556  0.432099   NaN
6      6    0.770738    0.718707    0.500000  0.469136   NaN
7      7    0.755138    0.766305    0.611111  0.469136   NaN",0.46913599999999994,0.666667,0.611111,0.388889
4,resnet50_1_modified_True,resnet50,modified,True,1,5,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.048498    0.994145    0.444444  0.493827   NaN
1      1    1.012234    0.964203    0.500000  0.555556   NaN
2      2    1.043406    0.776972    0.555556  0.493827   NaN
3      3    0.922116    0.790449    0.611111  0.444444   NaN
4      4    0.840143    0.698018    0.388889  0.555556   NaN
5      5    0.759740    0.744798    0.500000  0.456790   NaN
6      6    0.719033    0.720489    0.444444  0.493827   NaN
7      7    0.711459    0.713477    0.500000  0.481481   NaN",0.48148100000000005,0.555556,0.5,0.388889
5,resnet50_1_modified_True,resnet50,modified,True,1,6,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.826867    0.764995        0.35   0.61   NaN
1      1    0.892659    1.011234        0.65   0.40   NaN
2      2    0.895111    0.803259        0.50   0.50   NaN
3      3    0.871838    0.837682        0.45   0.48   NaN
4      4    0.807239    0.759878        0.55   0.52   NaN
5      5    0.750841    0.747455        0.45   0.47   NaN
6      6    0.704392    0.748722        0.50   0.51   NaN
7      7    0.699590    0.679402        0.40   0.58   NaN",0.58,0.61,0.4,0.35
6,resnet50_1_modified_True,resnet50,modified,True,1,7,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.996476    0.835711        0.50   0.48   NaN
1      1    1.011163    1.166522        0.60   0.25   NaN
2      2    0.927234    1.131330        0.65   0.29   NaN
3      3    0.837802    1.223802        0.60   0.30   NaN
4      4    0.835975    0.916631        0.65   0.30   NaN
5      5    0.818737    0.843556        0.65   0.34   NaN
6      6    0.772642    0.770264        0.60   0.31   NaN
7      7    0.721201    0.778230        0.65   0.24   NaN",0.24,0.48,0.65,0.5
7,resnet50_1_modified_True,resnet50,modified,True,1,8,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.893740    0.726760    0.388889  0.555556   NaN
1      1    1.005823    0.794687    0.444444  0.691358   NaN
2      2    0.904247    0.652927    0.333333  0.641975   NaN
3      3    0.896017    0.743860    0.444444  0.641975   NaN
4      4    0.832419    0.594744    0.222222  0.790123   NaN
5      5    0.765780    0.666208    0.444444  0.740741   NaN
6      6    0.729762    0.654072    0.388889  0.679012   NaN
7      7    0.726478    0.644584    0.388889  0.666667   NaN",0.666667,0.7901229999999999,0.388889,0.22222199999999998
8,resnet50_1_modified_True,resnet50,modified,True,1,9,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.756939    0.789152    0.500000  0.580247   NaN
1      1    0.810165    0.719190    0.388889  0.666667   NaN
2      2    0.809763    0.715324    0.333333  0.716049   NaN
3      3    0.819280    0.741581    0.500000  0.555556   NaN
4      4    0.843045    0.820027    0.666667  0.382716   NaN
5      5    0.792239    0.768877    0.500000  0.481481   NaN
6      6    0.699293    0.798109    0.500000  0.432099   NaN
7      7    0.721882    0.785949    0.611111  0.333333   NaN",0.333333,0.7160489999999999,0.611111,0.333333
9,resnet50_1_modified_True,resnet50,modified,True,1,10,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.155444    0.895402    0.444444  0.444444   NaN
1      1    1.080202    0.971709    0.555556  0.432099   NaN
2      2    0.916798    0.848712    0.555556  0.555556   NaN
3      3    0.798764    0.741534    0.444444  0.543210   NaN
4      4    0.764908    0.841387    0.444444  0.629630   NaN
5      5    0.782761    0.703588    0.555556  0.617284   NaN
6      6    0.763367    0.718940    0.500000  0.555556   NaN
7      7    0.757680    0.670114    0.388889  0.580247   NaN",0.5802470000000001,0.5802470000000001,0.388889,0.388889
