,test_name,model_arch,transforms,normalized,weight_decay,split_num,train_df,AUROC_8,AUROC_9,error_rate_8,error_rate_9
0,resnet18_0.01_none_False,resnet18,none,False,0.01,1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.038633    0.883525        0.60   0.45   NaN
1      1    0.955440    1.045332        0.45   0.51   NaN
2      2    0.868794    1.141652        0.40   0.43   NaN
3      3    0.845074    0.971871        0.60   0.42   NaN
4      4    0.883721    0.903101        0.55   0.51   NaN
5      5    0.844733    0.894474        0.60   0.48   NaN
6      6    0.787875    1.020416        0.65   0.41   NaN
7      7    0.805242    0.892608        0.60   0.47   NaN
8      8    0.737644    0.918346        0.60   0.41   NaN",0.47,0.41,0.6,0.6
1,resnet18_0.01_none_False,resnet18,none,False,0.01,2,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.066465    0.670565        0.40   0.64   NaN
1      1    0.902618    1.149557        0.45   0.38   NaN
2      2    0.933812    0.835260        0.50   0.53   NaN
3      3    0.859021    1.172415        0.50   0.46   NaN
4      4    0.828469    0.791616        0.40   0.66   NaN
5      5    0.728579    0.967139        0.60   0.51   NaN
6      6    0.701064    0.983096        0.55   0.49   NaN
7      7    0.697913    1.069330        0.45   0.53   NaN
8      8    0.785173    1.148396        0.45   0.47   NaN",0.53,0.47,0.45,0.45
2,resnet18_0.01_none_False,resnet18,none,False,0.01,3,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.920068    0.774121    0.444444  0.592593   NaN
1      1    0.872256    0.598181    0.277778  0.802469   NaN
2      2    0.948139    0.739144    0.444444  0.641975   NaN
3      3    0.944309    0.887997    0.555556  0.444444   NaN
4      4    0.787406    0.683970    0.333333  0.654321   NaN
5      5    0.807875    0.688844    0.388889  0.629630   NaN
6      6    0.753374    0.720124    0.388889  0.604938   NaN
7      7    0.733528    0.723723    0.444444  0.580247   NaN
8      8    0.800993    0.711804    0.444444  0.580247   NaN",0.5802470000000001,0.5802470000000001,0.44444399999999995,0.44444399999999995
3,resnet18_0.01_none_False,resnet18,none,False,0.01,4,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.831799    0.697791    0.444444  0.679012   NaN
1      1    0.879397    0.875377    0.555556  0.444444   NaN
2      2    0.810675    0.889784    0.500000  0.530864   NaN
3      3    0.768902    0.930961    0.555556  0.567901   NaN
4      4    0.751216    0.873112    0.611111  0.469136   NaN
5      5    0.781787    0.966878    0.555556  0.407407   NaN
6      6    0.755731    1.046387    0.500000  0.370370   NaN
7      7    0.741175    0.917266    0.444444  0.432099   NaN
8      8    0.727961    1.039576    0.500000  0.407407   NaN",0.43209899999999996,0.407407,0.44444399999999995,0.5
4,resnet18_0.01_none_False,resnet18,none,False,0.01,5,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.804499    1.013066    0.777778  0.283951   NaN
1      1    0.922795    1.050740    0.666667  0.345679   NaN
2      2    0.804041    0.911779    0.444444  0.580247   NaN
3      3    0.852193    1.040454    0.555556  0.456790   NaN
4      4    0.759452    1.155537    0.555556  0.444444   NaN
5      5    0.839003    1.105423    0.555556  0.345679   NaN
6      6    0.817944    0.986212    0.555556  0.432099   NaN
7      7    0.770407    1.000712    0.555556  0.358025   NaN
8      8    0.713115    0.984427    0.500000  0.395062   NaN",0.358025,0.39506199999999997,0.555556,0.5
5,resnet18_0.01_none_False,resnet18,none,False,0.01,6,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.909823    0.638148        0.40   0.73   NaN
1      1    0.873124    0.713158        0.40   0.66   NaN
2      2    0.890786    0.976417        0.50   0.48   NaN
3      3    0.828417    0.735351        0.40   0.59   NaN
4      4    0.858104    0.896836        0.45   0.63   NaN
5      5    0.746443    0.955637        0.45   0.58   NaN
6      6    0.859354    0.982584        0.50   0.56   NaN
7      7    0.875161    1.095706        0.45   0.51   NaN
8      8    0.845463    0.978844        0.40   0.49   NaN",0.51,0.49,0.45,0.4
6,resnet18_0.01_none_False,resnet18,none,False,0.01,7,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.756897    0.778378        0.45   0.59   NaN
1      1    0.843456    0.860004        0.50   0.53   NaN
2      2    0.892802    0.671248        0.35   0.63   NaN
3      3    0.801490    0.816152        0.40   0.53   NaN
4      4    0.751456    0.773257        0.50   0.47   NaN
5      5    0.839456    0.723098        0.60   0.54   NaN
6      6    0.819589    0.711857        0.30   0.64   NaN
7      7    0.714977    0.766683        0.35   0.54   NaN
8      8    0.768328    0.706243        0.35   0.64   NaN",0.54,0.64,0.35,0.35
7,resnet18_0.01_none_False,resnet18,none,False,0.01,8,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.837628    0.706816    0.333333  0.629630   NaN
1      1    0.962512    0.841024    0.444444  0.543210   NaN
2      2    0.904215    0.798044    0.500000  0.543210   NaN
3      3    0.833832    0.782411    0.500000  0.481481   NaN
4      4    0.873207    0.832569    0.277778  0.654321   NaN
5      5    0.799338    0.858802    0.500000  0.506173   NaN
6      6    0.876074    0.764519    0.388889  0.617284   NaN
7      7    0.836573    0.777651    0.444444  0.567901   NaN
8      8    0.741492    0.740635    0.388889  0.666667   NaN",0.567901,0.666667,0.44444399999999995,0.388889
8,resnet18_0.01_none_False,resnet18,none,False,0.01,9,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.094120    1.015788    0.611111  0.283951   NaN
1      1    0.915986    0.856239    0.388889  0.518519   NaN
2      2    0.858909    1.101224    0.611111  0.370370   NaN
3      3    0.811882    0.880549    0.500000  0.469136   NaN
4      4    0.789768    0.963887    0.555556  0.444444   NaN
5      5    0.765852    0.853693    0.444444  0.493827   NaN
6      6    0.732046    0.831307    0.444444  0.592593   NaN
7      7    0.626294    0.726183    0.500000  0.592593   NaN
8      8    0.596793    0.737072    0.500000  0.617284   NaN",0.592593,0.617284,0.5,0.5
9,resnet18_0.01_none_False,resnet18,none,False,0.01,10,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.780595    0.960479    0.666667  0.197531   NaN
1      1    0.860658    0.961486    0.666667  0.259259   NaN
2      2    0.791542    1.002163    0.666667  0.345679   NaN
3      3    0.752404    1.071781    0.611111  0.296296   NaN
4      4    0.847931    0.778655    0.666667  0.456790   NaN
5      5    0.797027    0.749880    0.555556  0.530864   NaN
6      6    0.672526    0.622602    0.333333  0.802469   NaN
7      7    0.725180    0.746441    0.444444  0.555556   NaN
8      8    0.672429    0.718699    0.333333  0.666667   NaN",0.555556,0.666667,0.44444399999999995,0.333333
