,test_name,model_arch,transforms,normalized,weight_decay,split_num,AUROC,epoch,error_rate,lr,train_df
0,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,1,0.55,7.0,0.4,0.1,"   epoch  train_loss    valid_loss  error_rate  AUROC  time
0      0    1.321423      2.133742        0.50   0.59   NaN
1      1    1.211715     25.552029        0.50   0.50   NaN
2      2    1.432338      1.371010        0.50   0.36   NaN
3      3    1.351257  17248.728516        0.50   0.50   NaN
4      4    1.160453      0.857534        0.50   0.62   NaN
5      5    0.894236      0.699541        0.55   0.61   NaN
6      6    0.808082      0.692825        0.40   0.55   NaN"
1,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,2,0.57,7.0,0.45,0.1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.015131    3.221234        0.50   0.66   NaN
1      1    1.291648    0.871380        0.40   0.55   NaN
2      2    1.254436    1.384252        0.50   0.39   NaN
3      3    1.163670    0.706910        0.50   0.55   NaN
4      4    1.007453    0.804064        0.50   0.63   NaN
5      5    0.863400    0.698009        0.50   0.50   NaN
6      6    0.777014    0.688464        0.45   0.57   NaN"
2,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,3,0.333333,7.0,0.5,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.100526    1.573787         0.5  0.604938   NaN
1      1    1.085397   10.161377         0.5  0.500000   NaN
2      2    1.431513    1.740849         0.5  0.629630   NaN
3      3    1.320910    1.856313         0.5  0.580247   NaN
4      4    1.136416    0.826950         0.5  0.604938   NaN
5      5    0.949018    0.696574         0.5  0.765432   NaN
6      6    0.829740    0.717181         0.5  0.333333   NaN"
3,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,4,0.296296,7.0,0.611111,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.376122    0.955498    0.611111  0.370370   NaN
1      1    1.222407    3.020437    0.500000  0.469136   NaN
2      2    1.423734    2.794834    0.500000  0.382716   NaN
3      3    1.263747    0.720072    0.500000  0.432099   NaN
4      4    1.010402    0.684562    0.388889  0.580247   NaN
5      5    0.875819    0.693350    0.500000  0.617284   NaN
6      6    0.779618    0.698074    0.611111  0.296296   NaN"
4,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,5,0.604938,7.0,0.44444399999999995,0.1,"   epoch  train_loss    valid_loss  error_rate     AUROC  time
0      0    1.397988      1.406747    0.500000  0.604938   NaN
1      1    1.370960  22806.394531    0.500000  0.500000   NaN
2      2    1.464288      1.802809    0.500000  0.271605   NaN
3      3    1.508555      1.257038    0.500000  0.456790   NaN
4      4    1.104378      0.967567    0.500000  0.296296   NaN
5      5    0.908224      0.749568    0.500000  0.296296   NaN
6      6    0.784523      0.683799    0.444444  0.604938   NaN"
5,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,6,0.67,7.0,0.4,0.1,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.436426    0.802619         0.5   0.38   NaN
1      1    1.402670    6.688811         0.5   0.51   NaN
2      2    1.580352    1.242873         0.5   0.65   NaN
3      3    1.270944    0.831256         0.5   0.35   NaN
4      4    1.052111   58.530689         0.5   0.55   NaN
5      5    0.881743    0.703732         0.5   0.54   NaN
6      6    0.780570    0.675314         0.4   0.67   NaN"
6,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,7,0.68,7.0,0.5,0.1,"   epoch  train_loss   valid_loss  error_rate  AUROC  time
0      0    1.033182     1.177842         0.5   0.39   NaN
1      1    1.076651     1.254720         0.5   0.46   NaN
2      2    1.389411  1280.377930         0.5   0.50   NaN
3      3    1.437780     0.782115         0.5   0.57   NaN
4      4    1.123289     1.559310         0.5   0.24   NaN
5      5    0.955210     0.704267         0.5   0.56   NaN
6      6    0.830629     0.688138         0.5   0.68   NaN"
7,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,8,0.506173,7.0,0.611111,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.330779    1.853540    0.500000  0.493827   NaN
1      1    1.410623    0.969488    0.500000  0.419753   NaN
2      2    1.443153    0.741916    0.500000  0.370370   NaN
3      3    1.233166    5.324156    0.500000  0.567901   NaN
4      4    0.993564    0.744053    0.500000  0.382716   NaN
5      5    0.837704    0.694783    0.500000  0.370370   NaN
6      6    0.769389    0.697656    0.611111  0.506173   NaN"
8,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,9,0.5802470000000001,7.0,0.388889,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.176887    1.283498    0.500000  0.382716   NaN
1      1    1.348268    0.694045    0.500000  0.555556   NaN
2      2    1.333117    1.964843    0.500000  0.345679   NaN
3      3    1.203618    1.392300    0.500000  0.481481   NaN
4      4    0.975049    0.848658    0.500000  0.604938   NaN
5      5    0.864644    0.692893    0.444444  0.543210   NaN
6      6    0.767184    0.691950    0.388889  0.580247   NaN"
9,resnet18_7_1_0.1_modified_True,resnet18,modified,true,1,10,0.592593,7.0,0.388889,0.1,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.224288    1.125410    0.500000  0.481481   NaN
1      1    1.523228    0.733241    0.500000  0.283951   NaN
2      2    1.541831   15.273952    0.500000  0.580247   NaN
3      3    1.285565    0.868445    0.500000  0.358025   NaN
4      4    1.090630   11.102951    0.500000  0.555556   NaN
5      5    0.900702    0.686904    0.500000  0.814815   NaN
6      6    0.788382    0.688152    0.388889  0.592593   NaN"
