,test_name,model_arch,transforms,normalized,weight_decay,split_nummax_error,min_error,avg_error,train_df,max_error,split_num
0,resnet18_0.003_None_True,resnet18,stock,norm,0.003,,0.42105299999999996,0.5112782857142857,"   epoch  train_loss  valid_loss  error_rate  time
0      0    0.992831    1.293650    0.631579   NaN
1      1    0.847615    0.878590    0.526316   NaN
2      2    0.884051    0.926616    0.421053   NaN
3      3    0.805339    0.864173    0.421053   NaN
4      4    0.781190    0.894835    0.473684   NaN
5      5    0.748494    0.878614    0.526316   NaN
6      6    0.724030    0.925681    0.578947   NaN",0.631579,1.0
1,resnet18_0.003_None_True,resnet18,stock,norm,0.003,,0.315789,0.45864671428571435,"   epoch  train_loss  valid_loss  error_rate  time
0      0    0.874533    0.948370    0.684211   NaN
1      1    0.908468    0.789744    0.315789   NaN
2      2    0.942498    0.947068    0.526316   NaN
3      3    0.851060    0.931259    0.473684   NaN
4      4    0.848946    0.875522    0.368421   NaN
5      5    0.739926    0.862689    0.421053   NaN
6      6    0.788581    0.813002    0.421053   NaN",0.684211,2.0
2,resnet18_0.003_None_True,resnet18,stock,norm,0.003,,0.473684,0.5413532857142856,"   epoch  train_loss  valid_loss  error_rate  time
0      0    0.838346    0.902729    0.473684   NaN
1      1    0.704387    0.926672    0.526316   NaN
2      2    0.780348    0.979126    0.473684   NaN
3      3    0.790948    1.116121    0.578947   NaN
4      4    0.807423    0.985392    0.631579   NaN
5      5    0.777822    1.017118    0.526316   NaN
6      6    0.765661    1.018216    0.578947   NaN",0.631579,3.0
3,resnet18_0.003_None_True,resnet18,stock,norm,0.003,,0.473684,0.5338344285714285,"   epoch  train_loss  valid_loss  error_rate  time
0      0    0.883483    0.801405    0.473684   NaN
1      1    0.885533    1.022409    0.526316   NaN
2      2    0.846228    0.958071    0.578947   NaN
3      3    0.907358    0.914374    0.526316   NaN
4      4    0.799784    1.047807    0.473684   NaN
5      5    0.745535    0.970099    0.578947   NaN
6      6    0.698946    0.987824    0.578947   NaN",0.578947,4.0
4,resnet18_0.003_None_True,resnet18,stock,norm,0.003,,0.44444399999999995,0.5396824285714286,"   epoch  train_loss  valid_loss  error_rate  time
0      0    0.945613    0.971591    0.666667   NaN
1      1    0.890047    1.104653    0.611111   NaN
2      2    0.813664    1.035152    0.611111   NaN
3      3    0.727448    0.917787    0.444444   NaN
4      4    0.745109    0.890255    0.444444   NaN
5      5    0.709427    0.874693    0.500000   NaN
6      6    0.638979    0.779595    0.500000   NaN",0.666667,5.0
5,resnet18_0.003_Stock_True,resnet18,stock,norm,0.003,,0.263158,0.3759398571428572,"   epoch  train_loss  valid_loss  error_rate  time
0      0    0.773933    0.586992    0.368421   NaN
1      1    0.867552    0.862241    0.631579   NaN
2      2    0.949353    0.645775    0.368421   NaN
3      3    1.006092    0.502010    0.263158   NaN
4      4    0.922113    0.587278    0.263158   NaN
5      5    0.868630    0.663894    0.368421   NaN
6      6    0.767272    0.642702    0.368421   NaN",0.631579,6.0
6,resnet18_0.003_Stock_True,resnet18,stock,norm,0.003,,0.315789,0.4360902857142857,"   epoch  train_loss  valid_loss  error_rate  time
0      0    0.946880    0.752579    0.578947   NaN
1      1    1.012079    0.648133    0.421053   NaN
2      2    0.838115    0.738125    0.421053   NaN
3      3    0.792805    0.820339    0.421053   NaN
4      4    0.757880    0.831053    0.421053   NaN
5      5    0.826036    0.789006    0.473684   NaN
6      6    0.846961    0.708304    0.315789   NaN",0.578947,7.0
7,resnet18_0.003_Stock_True,resnet18,stock,norm,0.003,,0.473684,0.5488722857142857,"   epoch  train_loss  valid_loss  error_rate  time
0      0    0.965421    1.112059    0.684211   NaN
1      1    0.944355    1.102044    0.631579   NaN
2      2    0.951216    0.898557    0.473684   NaN
3      3    0.886876    0.819703    0.526316   NaN
4      4    0.837459    0.907616    0.473684   NaN
5      5    0.810415    0.808535    0.526316   NaN
6      6    0.680567    0.909320    0.526316   NaN",0.684211,8.0
8,resnet18_0.003_Stock_True,resnet18,stock,norm,0.003,,0.315789,0.4586465714285714,"   epoch  train_loss  valid_loss  error_rate  time
0      0    0.990687    0.708086    0.315789   NaN
1      1    0.983564    0.770428    0.421053   NaN
2      2    0.903226    0.737337    0.368421   NaN
3      3    0.911950    0.924147    0.473684   NaN
4      4    0.782345    0.777034    0.526316   NaN
5      5    0.747565    0.733323    0.526316   NaN
6      6    0.756358    0.809273    0.578947   NaN",0.578947,9.0
9,resnet18_0.003_Stock_True,resnet18,stock,norm,0.003,,0.44444399999999995,0.5793651428571429,"   epoch  train_loss  valid_loss  error_rate  time
0      0    0.886891    0.998732    0.444444   NaN
1      1    0.900457    1.480648    0.666667   NaN
2      2    0.836743    1.117168    0.666667   NaN
3      3    0.794896    0.927912    0.611111   NaN
4      4    0.732521    0.936019    0.611111   NaN
5      5    0.746459    0.894408    0.500000   NaN
6      6    0.751818    0.914450    0.555556   NaN",0.666667,10.0
