,test_name,model_arch,transforms,normalized,weight_decay,split_num,AUROC,error_rate,train_df
0,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,1,0.27,0.5,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.031055    0.943423        0.35   0.66   NaN
1      1    1.045439    2.094509        0.50   0.54   NaN
2      2    1.263122    1.299119        0.50   0.55   NaN
3      3    1.386909    1.402163        0.55   0.29   NaN
4      4    1.125735    1.375174        0.50   0.27   NaN"
1,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,2,0.42,0.6,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    0.981646    1.586877        0.60   0.41   NaN
1      1    1.301547    0.890032        0.45   0.53   NaN
2      2    1.416059    2.429810        0.50   0.45   NaN
3      3    1.446263    1.131117        0.60   0.45   NaN
4      4    1.188821    0.927003        0.60   0.42   NaN"
2,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,3,0.46913599999999994,0.555556,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.910703    1.191136    0.666667  0.395062   NaN
1      1    1.184126    0.607492    0.277778  0.728395   NaN
2      2    1.377376    1.793534    0.444444  0.604938   NaN
3      3    1.373792    1.084237    0.500000  0.481481   NaN
4      4    1.192573    1.061897    0.555556  0.469136   NaN"
3,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,4,0.46913599999999994,0.5,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    0.960728    2.270182    0.777778  0.246914   NaN
1      1    1.135650    2.733552    0.500000  0.419753   NaN
2      2    1.410113    1.467124    0.611111  0.370370   NaN
3      3    1.510794    1.566149    0.500000  0.370370   NaN
4      4    1.316896    1.257072    0.500000  0.469136   NaN"
4,resnet18_0.01_0.01_modified_True,resnet18,modified,true,0.01,5,0.555556,0.5,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.065172    2.304409    0.777778  0.320988   NaN
1      1    1.179293    1.957857    0.555556  0.543210   NaN
2      2    1.468889    1.116937    0.388889  0.604938   NaN
3      3    1.277495    0.815152    0.444444  0.666667   NaN
4      4    1.263175    0.935760    0.500000  0.555556   NaN"
5,resnet18_0.01_0.03_modified_True,resnet18,modified,true,0.01,1,0.43,0.55,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.229238    2.689592        0.50   0.59   NaN
1      1    2.544113    3.195030        0.55   0.34   NaN
2      2    2.631437    0.910027        0.25   0.79   NaN
3      3    2.659319    3.327476        0.50   0.53   NaN
4      4    2.773018    4.267322        0.55   0.43   NaN"
6,resnet18_0.01_0.03_modified_True,resnet18,modified,true,0.01,2,0.39,0.5,"   epoch  train_loss  valid_loss  error_rate  AUROC  time
0      0    1.698283    2.977755        0.65   0.29   NaN
1      1    2.620192    2.042991        0.55   0.43   NaN
2      2    2.713453    4.822865        0.50   0.45   NaN
3      3    3.211402    2.411449        0.60   0.51   NaN
4      4    2.566035    1.927939        0.50   0.39   NaN"
7,resnet18_0.01_0.03_modified_True,resnet18,modified,true,0.01,3,0.46913599999999994,0.388889,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.297767    1.460924    0.500000  0.370370   NaN
1      1    2.042306    6.299434    0.666667  0.320988   NaN
2      2    2.868689    8.282539    0.555556  0.320988   NaN
3      3    2.869845    4.444790    0.388889  0.395062   NaN
4      4    2.556411    2.172020    0.388889  0.469136   NaN"
8,resnet18_0.01_0.03_modified_True,resnet18,modified,true,0.01,4,0.518519,0.5,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.240824    3.439256    0.500000  0.259259   NaN
1      1    1.966941    8.037777    0.500000  0.604938   NaN
2      2    2.645224    1.693175    0.388889  0.728395   NaN
3      3    2.902078    1.966555    0.555556  0.506173   NaN
4      4    2.432425    1.473535    0.500000  0.518519   NaN"
9,resnet18_0.01_0.03_modified_True,resnet18,modified,true,0.01,5,0.506173,0.44444399999999995,"   epoch  train_loss  valid_loss  error_rate     AUROC  time
0      0    1.096288    3.939860    0.500000  0.308642   NaN
1      1    2.368335    3.393982    0.444444  0.703704   NaN
2      2    2.411176    6.287721    0.500000  0.530864   NaN
3      3    3.154952    3.273353    0.444444  0.555556   NaN
4      4    2.756187    3.310773    0.444444  0.506173   NaN"
